Agency Name,Agent Name,CT, Dollar Index ,Win Years,Total Years,Won%, Total Contract Value , Total Player Value , Dollars Captured Above/ Below Value ,Market Value Capture %,Discount Rate
"RSG Hockey, LLC",Allain Roy,60, $0.86 ,98,202,0.515," $292,288,058 "," $341,648,269 "," $(49,360,211)",85.55%,14.45%
Octagon Athlete Representation,Allan Walsh,23, $0.89 ,53,104,0.490," $263,936,524 "," $297,364,099 "," $(33,427,575)",88.76%,11.24%
Rufener Hockey LLC,Andre Rufener,2, $1.04 ,8,12,0.333," $64,900,000 "," $62,680,039 "," $2,219,961 ",103.54%,-3.54%
Maloney & Thompson Sports Management,Andrew Maloney,3, $1.16 ,2,9,0.778," $12,374,604 "," $10,643,670 "," $1,730,934 ",116.26%,-16.26%
Octagon Athlete Representation,Andrew Scott,16, $0.93 ,29,60,0.517," $226,832,439 "," $244,939,391 "," $(18,106,952)",92.61%,7.39%
Apollo Athletics,Bayne Pettinger,2, $1.10 ,6,12,0.500," $85,500,000 "," $77,993,635 "," $7,506,365 ",109.62%,-9.62%
Octagon Athlete Representation,Ben Hankinson,26, $0.85 ,65,120,0.458," $319,670,915 "," $377,730,105 "," $(58,059,190)",84.63%,15.37%
Dynasty Hockey Group,Blake Robson,1, $0.82 ,1,2,0.500," $1,650,000 "," $2,002,259 "," $(352,259)",82.41%,17.59%
Sports Consulting Group Inc.,Brian & Scott Bartlett,35, $0.93 ,65,139,0.532," $242,944,337 "," $261,795,992 "," $(18,851,655)",92.80%,7.20%
Siskinds Sports Management,Brian MacDonald,2, $0.69 ,6,10,0.400," $18,700,000 "," $27,055,026 "," $(8,355,026)",69.12%,30.88%
"KO Sports, Inc.",Cameron Stewart,1, $1.28 ,1,4,0.750," $10,600,000 "," $8,261,543 "," $2,338,457 ",128.31%,-28.31%
Cutting Edge Management,Chad Levitt,1, $2.99 ,0,2,1.000," $140,000 "," $46,817 "," $93,183 ",299.04%,-199.04%
Octagon Athlete Representation,Chris McAlpine,3, $0.15 ,4,8,0.500," $1,515,000 "," $10,090,508 "," $(8,575,508)",15.01%,84.99%
Octagon Athlete Representation,Clark Maclean,1, $1.00 ,1,4,0.750," $895,000 "," $891,651 "," $3,349 ",100.38%,-0.38%
4sports Hockey AG,Claude Lemieux,29, $0.99 ,51,102,0.500," $287,575,793 "," $289,586,582 "," $(2,010,789)",99.31%,0.69%
Newport Sports Management Inc.,Craig Oster,72, $0.99 ,144,280,0.486," $974,735,325 "," $984,854,699 "," $(10,119,374)",98.97%,1.03%
Gold Star Hockey,Daniel Milstein,35, $0.84 ,59,101,0.416," $310,670,813 "," $368,646,643 "," $(57,975,830)",84.27%,15.73%
Forward Hockey,Daniel Plante,10, $0.70 ,25,36,0.306," $22,701,402 "," $32,308,820 "," $(9,607,418)",70.26%,29.74%
"Wasserman Media Group, LLC",Daren Hermiston,2, $0.22 ,2,2,0.000," $500,305 "," $2,298,625 "," $(1,798,320)",21.77%,78.23%
Quartexx Management,Darren Ferris,23, $1.06 ,40,89,0.551," $249,173,502 "," $236,161,286 "," $13,012,216 ",105.51%,-5.51%
Quartexx Management,Dave Cowan,4, $0.78 ,8,14,0.429," $17,834,512 "," $22,818,707 "," $(4,984,195)",78.16%,21.84%
Maloney & Thompson Sports Management,Dave Maloney,1, $2.36 ,0,1,1.000," $70,000 "," $29,648 "," $40,352 ",236.10%,-136.10%
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",David Cowan,2, $0.85 ,3,6,0.500," $2,535,000 "," $2,994,256 "," $(459,256)",84.66%,15.34%
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",David Gagner,13, $0.76 ,15,37,0.595," $74,871,808 "," $98,093,971 "," $(23,222,163)",76.33%,23.67%
The Sports Corporation,David Kaye,5, $0.83 ,4,10,0.600," $3,394,268 "," $4,086,388 "," $(692,120)",83.06%,16.94%
Shore (Company),David Shore J.r.,2, $0.69 ,4,7,0.429," $1,626,306 "," $2,345,557 "," $(719,251)",69.34%,30.66%
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dean Grillo,11, $0.68 ,25,44,0.432," $51,937,988 "," $76,504,999 "," $(24,567,011)",67.89%,32.11%
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Dom Deblois,2, $0.56 ,6,7,0.143," $1,005,000 "," $1,795,979 "," $(790,979)",55.96%,44.04%
"O2K Worldwide Management Group, LLC - Sports Management and Marketing Group",Don Meehan,5, $1.03 ,13,23,0.435," $157,945,732 "," $152,792,229 "," $5,153,503 ",103.37%,-3.37%
Achieve Sports Management,Doug Shepherd,2, $(0.99),0,10,1.000," $9,550,000 "," $(9,682,284)"," $19,232,284 ",-98.63%,198.63%
Drew Shore,Drew Shore,1, $3.30 ,1,6,0.833," $3,674,085 "," $1,113,576 "," $2,560,509 ",329.94%,-229.94%
Forward Hockey,Eric Quinlan & Nicholas Martino,2, $0.70 ,4,5,0.200," $7,733,334 "," $10,974,538 "," $(3,241,204)",70.47%,29.53%
Sport Prospects Inc.,Erik Lupien,2, $1.35 ,3,7,0.571," $35,100,000 "," $25,904,576 "," $9,195,424 ",135.50%,-35.50%
