Agency Name,Agent Name,Birth Date,Age,First,Last,Combined Names, COST 18-19 , PC 18-19 , COST 19-20 , PC 19-20 , COST 20-21 , PC 20-21 , COST 21-22 , PC 21-22 , COST 22-23 , PC 22-23 , COST 23-24 , PC 23-24 , Dollars Captured Above/ Below Value ,Value Capture %, Total Cost , Total PC 
"RSG Hockey, LLC",Allain Roy,08/07/1990,34,Jake,Allen,Jake Allen," $4,350,000 ", $-   ," $5,200,000 "," $7,243,515 "," $4,000,000 "," $2,664,743 "," $2,000,000 "," $2,576,995 "," $3,750,000 "," $1,264,389 "," $4,400,000 "," $672,543 "," $9,277,815 ",164%," $23,700,000 "," $14,422,185 "
"RSG Hockey, LLC",Allain Roy,03/11/2000,24,Justus,Annunen,Justus Annunen, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $318,902 "," $3,960,497 "," $(3,641,595)",8%," $318,902 "," $3,960,497 "
"RSG Hockey, LLC",Allain Roy,12/05/1992,32,Nathan,Beaulieu,Nathan Beaulieu," $2,500,000 "," $1,489,931 "," $1,000,000 "," $1,936,385 "," $1,250,000 "," $(22,377)"," $1,250,000 "," $(104,654)"," $850,000 "," $(62,070)", $-   , $-   ," $3,612,785 ",212%," $6,850,000 "," $3,237,215 "
"RSG Hockey, LLC",Allain Roy,08/31/1991,33,Alex,Belzile,Alex Belzile, $-   , $-   ," $70,000 "," $282,197 "," $225,000 "," $142,370 "," $250,000 "," $247,643 "," $275,000 "," $1,360,450 "," $450,000 "," $416,357 "," $(1,179,017)",52%," $1,270,000 "," $2,449,017 "
"RSG Hockey, LLC",Allain Roy,05/01/1994,30,Antoine,Bibeau,Antoine Bibeau," $225,000 "," $172,257 "," $250,000 "," $141,578 "," $75,000 "," $49,330 "," $125,000 "," $37,397 "," $100,000 ", $-   , $-   , $-   ," $374,438 ",193%," $775,000 "," $400,562 "
"RSG Hockey, LLC",Allain Roy,03/11/1998,26,Brandon,Biro,Brandon Biro, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $163,110 "," $439,240 "," $328,963 "," $928,577 "," $(875,744)",36%," $492,073 "," $1,367,817 "
"RSG Hockey, LLC",Allain Roy,11/21/1986,38,Ben,Bishop,Ben Bishop," $6,500,000 "," $17,679,382 "," $5,500,000 "," $6,408,464 "," $3,500,000 ", $-   ," $3,500,000 "," $4,012 "," $3,500,000 ", $-   , $-   , $-   ," $(1,591,858)",93%," $22,500,000 "," $24,091,858 "
"RSG Hockey, LLC",Allain Roy,03/29/1996,28,Clark,Bishop,Clark Bishop, $-   , $-   ," $70,000 "," $57,480 "," $100,000 "," $468,652 "," $200,000 "," $(75,778)"," $250,000 "," $275,730 "," $275,000 "," $186,880 "," $(17,964)",98%," $895,000 "," $912,964 "
"RSG Hockey, LLC",Allain Roy,02/07/1995,29,Nikolas,Brouillard,Nikolas Brouillard, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $225,000 "," $132,520 "," $92,480 ",170%," $225,000 "," $132,520 "
"RSG Hockey, LLC",Allain Roy,11/18/1997,27,Jacob,Bryson,Jacob Bryson, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,800,000 "," $915,405 "," $1,900,000 "," $1,483,784 "," $1,300,811 ",154%," $3,700,000 "," $2,399,189 "
"RSG Hockey, LLC",Allain Roy,02/15/1998,26,Dennis,Cholowski,Dennis Cholowski, $-   , $-   , $-   , $-   , $-   , $-   ," $130,000 "," $425,522 "," $200,000 "," $220,580 "," $775,000 "," $188,240 "," $270,658 ",132%," $1,105,000 "," $834,342 "
"RSG Hockey, LLC",Allain Roy,11/06/1997,27,Evan,Cormier,Evan Cormier, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $75,000 "," $33,565 "," $75,000 ", $-   ," $116,435 ",447%," $150,000 "," $33,565 "
"RSG Hockey, LLC",Allain Roy,02/09/2001,23,Dylan,Cozens,Dylan Cozens, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $7,100,000 "," $3,195,735 "," $3,904,265 ",222%," $7,100,000 "," $3,195,735 "
"RSG Hockey, LLC",Allain Roy,11/13/1990,34,Brenden,Dillon,Brenden Dillon," $3,900,000 "," $3,422,351 "," $3,900,000 "," $349,412 "," $3,000,000 "," $3,027,947 "," $3,100,000 "," $2,561,598 "," $5,500,000 "," $1,577,893 "," $4,000,000 "," $3,732,269 "," $8,728,530 ",159%," $23,400,000 "," $14,671,470 "
"RSG Hockey, LLC",Allain Roy,10/01/1990,34,Justin,Dowling,Justin Dowling," $235,366 "," $547,734 "," $384,146 "," $517,568 "," $384,146 "," $81,347 "," $750,000 "," $478,765 "," $750,000 "," $418,110 "," $506,707 "," $392,294 "," $574,548 ",124%," $3,010,366 "," $2,435,818 "
"RSG Hockey, LLC",Allain Roy,03/09/1992,32,Ryan,Dzingel,Ryan Dzingel," $2,100,000 "," $6,239,493 "," $3,250,000 "," $3,085,333 "," $3,500,000 "," $1,158,775 "," $1,100,000 "," $(32,135)"," $150,000 "," $96,320 ", $-   , $-   ," $(447,786)",96%," $10,100,000 "," $10,547,786 "
"RSG Hockey, LLC",Allain Roy,02/11/1998,26,Trent,Frederic,Trent Frederic, $-   , $-   , $-   , $-   , $-   , $-   ," $950,000 "," $1,071,885 "," $1,150,000 "," $4,198,546 "," $2,300,000 "," $3,953,601 "," $(4,824,032)",48%," $4,400,000 "," $9,224,032 "
"RSG Hockey, LLC",Allain Roy,04/26/1995,29,Frederik,Gauthier,Frederik Gauthier," $100,000 "," $1,535,961 "," $100,000 "," $1,081,266 "," $150,000 "," $9,606 "," $175,000 "," $134,486 ", $-   , $-   , $-   , $-   ," $(2,236,319)",19%," $525,000 "," $2,761,319 "
"RSG Hockey, LLC",Allain Roy,10/15/1997,27,Julien,Gauthier,Julien Gauthier, $-   , $-   , $-   , $-   , $-   , $-   ," $456,402 "," $387,112 "," $800,000 "," $1,623,002 "," $775,000 "," $813,147 "," $(791,859)",72%," $2,031,402 "," $2,823,261 "
"RSG Hockey, LLC",Allain Roy,11/07/1997,27,Brandon,Gignac,Brandon Gignac, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $203,354 "," $477,182 "," $(273,828)",43%," $203,354 "," $477,182 "
"RSG Hockey, LLC",Allain Roy,01/26/1994,31,Tyrell,Goulbourne,Tyrell Goulbourne," $70,000 "," $125,576 "," $225,000 "," $2,400 "," $700,000 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $867,024 ",777%," $995,000 "," $127,976 "
"RSG Hockey, LLC",Allain Roy,05/21/1995,29,Ryan,Graves,Ryan Graves," $567,317 "," $1,550,813 "," $678,659 "," $8,414,504 "," $2,500,000 "," $3,580,504 "," $3,000,000 "," $3,634,160 "," $4,000,000 "," $7,073,643 "," $5,750,000 "," $3,131,693 "," $(10,889,341)",60%," $16,495,976 "," $27,385,317 "
"RSG Hockey, LLC",Allain Roy,11/25/1991,33,Philipp,Grubauer,Philipp Grubauer," $3,350,000 "," $7,980,205 "," $3,900,000 "," $6,903,938 "," $2,750,000 "," $11,283,059 "," $5,000,000 "," $712,362 "," $6,250,000 "," $1,983,531 "," $7,250,000 "," $1,195,756 "," $(1,558,851)",95%," $28,500,000 "," $30,058,851 "
"RSG Hockey, LLC",Allain Roy,06/05/1990,34,Radko,Gudas,Radko Gudas," $3,400,000 "," $2,665,523 "," $2,500,000 "," $2,603,496 "," $2,500,000 "," $2,093,318 "," $2,500,000 "," $3,540,214 "," $2,500,000 "," $2,224,604 "," $4,000,000 "," $1,548,321 "," $2,724,524 ",119%," $17,400,000 "," $14,675,476 "
"RSG Hockey, LLC",Allain Roy,07/29/1997,27,Brendan,Guhle,Brendan Guhle, $-   , $-   , $-   , $-   ," $700,000 "," $100,960 "," $900,000 "," $120,145 ", $-   , $-   , $-   , $-   ," $1,378,895 ",724%," $1,600,000 "," $221,105 "
"RSG Hockey, LLC",Allain Roy,08/27/1998,26,Brandon,Hagel,Brandon Hagel, $-   , $-   , $-   , $-   , $-   , $-   ," $1,000,000 "," $4,946,080 "," $1,450,000 "," $8,383,590 "," $2,050,000 "," $7,007,419 "," $(15,837,089)",22%," $4,500,000 "," $20,337,089 "
"RSG Hockey, LLC",Allain Roy,03/23/1991,33,Erik,Haula,Erik Haula," $2,750,000 "," $567,929 "," $2,750,000 "," $2,462,668 "," $1,750,000 "," $2,602,346 "," $2,250,000 "," $5,465,488 "," $2,500,000 "," $4,140,730 "," $3,900,000 "," $2,337,808 "," $(1,676,969)",90%," $15,900,000 "," $17,576,969 "
"RSG Hockey, LLC",Allain Roy,07/05/1995,29,Danton,Heinen,Danton Heinen, $-   , $-   ," $2,825,000 "," $2,930,896 "," $2,775,000 "," $1,369,727 "," $1,100,000 "," $4,611,070 "," $1,000,000 "," $1,885,955 "," $775,000 "," $4,899,128 "," $(7,221,776)",54%," $8,475,000 "," $15,696,776 "
"RSG Hockey, LLC",Allain Roy,04/09/1999,25,Akito,Hirose,Akito Hirose, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $365,549 "," $226,498 "," $139,051 ",161%," $365,549 "," $226,498 "
"RSG Hockey, LLC",Allain Roy,06/30/1996,28,Taro,Hirose,Taro Hirose, $-   , $-   , $-   , $-   ," $125,000 "," $671,881 "," $190,000 "," $600,447 "," $325,000 "," $372,374 "," $350,000 "," $317,445 "," $(972,147)",50%," $990,000 "," $1,962,147 "
"RSG Hockey, LLC",Allain Roy,12/20/2000,24,Nils,Hoglander,Nils Hoglander, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,000,000 "," $5,827,428 "," $(4,827,428)",17%," $1,000,000 "," $5,827,428 "
